name	contig	type	start	stop	strand	legend
nqrF	IR3_k97_191797	MAG90	367	1020	+	MAG90_gene0001
nqrF	IR3_k97_191797	MAG90	1008	1904	+	MAG90_gene0002
abgT	IR3_k97_191797	MAG90	2003	3598	+	MAG90_gene0003
-	IR3_k97_191797	MAG90	3661	4509	+	MAG90_gene0004
glsA	IR3_k97_191797	MAG90	5427	4486	-	MAG90_gene0005
uvrA	IR3_k97_191797	MAG90	8342	5508	-	MAG90_gene0006
tcaB	IR3_k97_191797	MAG90	8492	9862	+	MAG90_gene0007
ssb	IR3_k97_191797	MAG90	9880	10461	+	MAG90_gene0008
-	IR3_k97_191797	MAG90	10508	11428	+	MAG90_gene0009
add	IR3_k97_191797	MAG90	12763	11462	-	MAG90_gene0010
tdk	IR3_k97_191797	MAG90	12927	13547	+	MAG90_gene0011
macA	IR3_k97_191797	MAG90	13549	14694	+	MAG90_gene0012
macB	IR3_k97_191797	MAG90	14698	16683	+	MAG90_gene0013
pyrC	IR3_k97_191797	MAG90	16758	17816	+	MAG90_gene0014
mshI	IR3_k97_191797	MAG90	17973	18962	+	MAG90_gene0015
mshI	IR3_k97_191797	MAG90	18959	19618	+	MAG90_gene0016
mshJ	IR3_k97_191797	MAG90	19615	20289	+	MAG90_gene0017
mshL	IR3_k97_191797	MAG90	20632	22302	+	MAG90_gene0019
mshM	IR3_k97_191797	MAG90	22345	23256	+	MAG90_gene0020
mshN	IR3_k97_191797	MAG90	23253	24413	+	MAG90_gene0021
mshE	IR3_k97_191797	MAG90	24413	26176	+	MAG90_gene0022
mshG	IR3_k97_191797	MAG90	26176	27429	+	MAG90_gene0023
mshB	IR3_k97_191797	MAG90	28066	28851	+	MAG90_gene0025
mshA	IR3_k97_191797	MAG90	28908	29423	+	MAG90_gene0026
mshA	IR3_k97_191797	MAG90	29793	30014	+	MAG90_gene0027
actIV	IR3_k97_191797	MAG90	32467	33411	+	MAG90_gene0029
mshQ	IR3_k97_191797	MAG90	36487	33464	-	MAG90_gene0030
mshP	IR3_k97_191797	MAG90	36962	36474	-	MAG90_gene0031
mshO	IR3_k97_191797	MAG90	37809	36952	-	MAG90_gene0032
mshD	IR3_k97_191797	MAG90	38408	37809	-	MAG90_gene0033
mshC	IR3_k97_191797	MAG90	38546	39061	+	MAG90_gene0034
